TASK	BEST	SCORE	LEADER	💎	🥇	🥈	🥉	SOLUTIONS	GOLDS
001	58	2442	💎import itertools	58	58	60	-1	41	1
002	90	2410	💎Code Golf International	90	90	91	-1	38	1
003	58	2442	🥇 x6	-1	58	-1	-1	39	6
004	74	2426	💎jailctf merger	74	74	80	83	35	1
005	183	2317	💎jailctf merger	183	183	206	218	31	1
006	51	2449	🥇 x6	-1	51	-1	-1	40	6
007	62	2438	🥇 x2	-1	62	-1	63	37	2
008	84	2416	💎Code Golf International	84	84	94	99	33	1
009	107	2393	💎intgrah jimboko awu macaque sammyuri	107	107	109	-1	34	1
010	68	2432	🥇 x2	-1	68	-1	70	38	2
011	121	2379	💎jailctf merger	121	121	124	125	35	1
012	126	2374	💎jailctf merger	126	126	132	-1	33	1
013	138	2362	💎import itertools	138	138	140	-1	34	1
014	67	2433	💎jailctf merger	67	67	68	70	37	1
015	93	2407	💎Code Golf International	93	93	97	-1	34	1
016	43	2457	🥇 x4	-1	43	-1	-1	40	4
017	99	2401	💎jailctf merger	99	99	102	109	33	1
018	320	2180	💎jailctf merger	320	320	323	338	29	1
019	105	2395	💎ox jam	105	105	109	116	34	1
020	141	2359	💎jailctf merger	141	141	148	149	32	1
021	55	2445	💎intgrah jimboko awu macaque sammyuri	55	55	57	58	38	1
022	91	2409	💎Code Golf International	91	91	92	97	34	1
023	195	2305	💎Code Golf International	195	195	199	204	29	1
024	62	2438	🥇 x6	-1	62	-1	-1	37	6
025	131	2369	💎Code Golf International	131	131	144	151	31	1
026	52	2448	🥇 x5	-1	52	-1	-1	38	5
027	103	2397	💎Code Golf International	103	103	104	105	32	1
028	63	2437	🥇 x3	-1	63	-1	-1	37	3
029	108	2392	💎biz	108	108	113	117	31	1
030	94	2406	🥇 x3	-1	94	-1	-1	32	3
031	45	2455	🥇 x4	-1	45	-1	-1	39	4
032	39	2461	🥇 x30	-1	39	-1	-1	39	30
033	73	2427	💎jailctf merger	73	73	76	-1	35	1
034	125	2375	💎Code Golf International	125	125	127	128	30	1
035	83	2417	🥇 x2	-1	83	-1	87	33	2
036	75	2425	🥇 x3	-1	75	-1	-1	34	3
037	105	2395	🥇 x2	-1	105	-1	109	31	2
038	51	2449	🥇 x7	-1	51	-1	-1	38	7
039	60	2440	🥇 x2	-1	60	-1	61	36	2
